"id","implementation","method","endpoint","domain","auth_permission","current_consumer","candidate_action","replacement_or_guard","risk","phase0_status"
"API-014","NestJS","DELETE","/api/v1/admin/products/:id","product-admin","products.manage + SUPERADMIN","Admin product soft delete","REMOVE_CANDIDATE","Retain immutable audit log","HIGH","INVENTORIED_ONLY"
"API-015","NestJS","GET","/api/v1/cart","cart","customer JWT","MiniCart, /cart, /checkout","REMOVE_CANDIDATE","Remove only after customer navigation and persisted cart state are migrated","CRITICAL","INVENTORIED_ONLY"
"API-016","NestJS","POST","/api/v1/cart/items","cart","customer JWT","Add-to-cart actions","REMOVE_CANDIDATE","Disable writes before removing product detail CTA","CRITICAL","INVENTORIED_ONLY"
"API-017","NestJS","PATCH","/api/v1/cart/items/:itemId","cart","customer JWT","Cart quantity update","REMOVE_CANDIDATE","Clear/migrate client persisted cart state","HIGH","INVENTORIED_ONLY"
"API-018","NestJS","DELETE","/api/v1/cart/items/:itemId","cart","customer JWT","Cart item remove","REMOVE_CANDIDATE","Clear/migrate client persisted cart state","MEDIUM","INVENTORIED_ONLY"
"API-019","NestJS","POST","/api/v1/orders","order-checkout","public/current phone contract","Checkout","REMOVE_CANDIDATE","Stop new commerce orders; do not affect service booking or quote confirmation","CRITICAL","INVENTORIED_ONLY"
"API-020","NestJS","GET","/api/v1/orders","order-customer","phone query contract","Customer /orders legacy flow","REMOVE_CANDIDATE","Preserve historical order export/retention policy","CRITICAL","INVENTORIED_ONLY"
"API-021","NestJS","GET","/api/v1/orders/:id","order-customer","phone ownership check","Customer order detail","REMOVE_CANDIDATE","Historical read-only archive may be required","CRITICAL","INVENTORIED_ONLY"
"API-022","NestJS","PATCH","/api/v1/orders/:id/cancel","order-customer","phone ownership check","Customer cancellation","REMOVE_CANDIDATE","Close/cancel active orders before disabling","CRITICAL","INVENTORIED_ONLY"
"API-023","NestJS","GET","/api/v1/admin/orders","order-admin","orders.view","Admin /orders and dashboard links","REMOVE_CANDIDATE","Replace admin route with service operations; retain export access if legally required","CRITICAL","INVENTORIED_ONLY"
"API-024","NestJS","GET","/api/v1/admin/orders/:id","order-admin","orders.view","Admin order modal/detail","REMOVE_CANDIDATE","Archive/read-only policy required","HIGH","INVENTORIED_ONLY"
"API-025","NestJS","PATCH","/api/v1/admin/orders/:id/status","order-admin","orders.manage","Order status/payment update","REMOVE_CANDIDATE","Resolve all nonterminal orders before removal","CRITICAL","INVENTORIED_ONLY"
"API-026","NestJS","GET","/api/v1/account/orders","order-account","customer JWT","Authenticated account order list","REMOVE_CANDIDATE","Keep account and service-request APIs; remove only order projection","CRITICAL","INVENTORIED_ONLY"
"API-027","NestJS","GET","/api/v1/account/orders/:id","order-account","customer JWT","Authenticated account order detail","REMOVE_CANDIDATE","Keep account and service-request APIs","HIGH","INVENTORIED_ONLY"
"API-028","NestJS","GET","/api/v1/admin/dashboard","mixed-dashboard","dashboard.view","Admin dashboard","REFACTOR_NOT_REMOVE","Replace commerce KPI/chart/recentOrders/lowStock while preserving service metrics","CRITICAL","INVENTORIED_ONLY"
"API-029","NestJS","GET","/api/v1/settings/public","mixed-settings","public","Checkout shipping fee plus service contact","SPLIT_NOT_REMOVE","Remove shipping fields only; retain hotline, Zalo, email and address","CRITICAL","INVENTORIED_ONLY"
"API-030","NestJS","GET/PATCH","/api/v1/admin/settings","mixed-settings","settings.view/settings.manage","Admin settings","SPLIT_NOT_REMOVE","Remove commerce-only shipping configuration without deleting service settings","CRITICAL","INVENTORIED_ONLY"
"API-031","NestJS","GET","/api/v1/admin/operations/customers/:id","mixed-customer-view","operations.view","Operations customer detail","REFACTOR_NOT_REMOVE","Remove orders projection only; preserve devices, addresses and serviceRequests","CRITICAL","INVENTORIED_ONLY"
"API-032","Mock API","GET","/api/v1/categories","catalog","public","Customer product filters/home in mock mode","REMOVE_CANDIDATE","Keep parity with Nest transition","HIGH","INVENTORIED_ONLY"
"API-033","Mock API","GET","/api/v1/brands","catalog","public","Customer product filters in mock mode","REMOVE_CANDIDATE","Keep parity with Nest transition","HIGH","INVENTORIED_ONLY"
"API-034","Mock API","GET","/api/v1/products","product","public","Customer product list in mock mode","REMOVE_CANDIDATE","Keep parity with Nest transition","CRITICAL","INVENTORIED_ONLY"
"API-035","Mock API","GET","/api/v1/products/search","product","public","Product search in mock mode","REMOVE_CANDIDATE","Replace with service/article search if required","HIGH","INVENTORIED_ONLY"
"API-036","Mock API","GET","/api/v1/products/featured","product","public","Homepage featured products in mock mode","REMOVE_CANDIDATE","Replace with featured services","HIGH","INVENTORIED_ONLY"
"API-037","Mock API","GET","/api/v1/products/:identifier","product","public","Customer product detail in mock mode","REMOVE_CANDIDATE","Redirect/410 parity with Nest","CRITICAL","INVENTORIED_ONLY"
"API-038","Mock API","GET","/api/v1/admin/products","product-admin","products:read","Admin product list in mock mode","REMOVE_CANDIDATE","Remove with admin UI and permissions","CRITICAL","INVENTORIED_ONLY"
"API-039","Mock API","POST","/api/v1/admin/products","product-admin","products:create","Admin product create in mock mode","REMOVE_CANDIDATE","Disable writes first","CRITICAL","INVENTORIED_ONLY"
"API-040","Mock API","PATCH","/api/v1/admin/products/:id","product-admin","products:update","Admin product update in mock mode","REMOVE_CANDIDATE","Disable writes first","CRITICAL","INVENTORIED_ONLY"
"API-041","Mock API","DELETE","/api/v1/admin/products/:id","product-admin","products:delete","Admin product delete in mock mode","REMOVE_CANDIDATE","Preserve audit fixtures","HIGH","INVENTORIED_ONLY"
"API-042","Mock API","POST","/api/v1/orders","order-checkout","public/current phone contract","Checkout in mock mode","REMOVE_CANDIDATE","Do not affect /service-requests","CRITICAL","INVENTORIED_ONLY"
"API-043","Mock API","GET","/api/v1/orders","order-customer","phone query contract","Customer orders in mock mode","REMOVE_CANDIDATE","Retain archive policy","HIGH","INVENTORIED_ONLY"
"API-044","Mock API","GET","/api/v1/orders/:id","order-customer","phone ownership check","Customer order detail in mock mode","REMOVE_CANDIDATE","Retain archive policy","HIGH","INVENTORIED_ONLY"
"API-045","Mock API","PATCH","/api/v1/orders/:id/cancel","order-customer","phone ownership check","Customer order cancel in mock mode","REMOVE_CANDIDATE","Close active orders first","CRITICAL","INVENTORIED_ONLY"
"API-046","Mock API","GET","/api/v1/admin/orders","order-admin","orders:read","Admin orders in mock mode","REMOVE_CANDIDATE","Remove with admin UI","CRITICAL","INVENTORIED_ONLY"
"API-047","Mock API","GET","/api/v1/admin/orders/:id","order-admin","orders:read","Admin order detail in mock mode","REMOVE_CANDIDATE","Archive/read-only policy","HIGH","INVENTORIED_ONLY"
"API-048","Mock API","PATCH","/api/v1/admin/orders/:id/status","order-admin","orders:update","Admin status update in mock mode","REMOVE_CANDIDATE","Resolve active orders first","CRITICAL","INVENTORIED_ONLY"
"API-049","Mock API","GET","/api/v1/admin/dashboard","mixed-dashboard","dashboard:read","Admin dashboard in mock mode","REFACTOR_NOT_REMOVE","Replace commerce stats while preserving future service dashboard parity","CRITICAL","INVENTORIED_ONLY"
"API-050","Mock API","GET","/api/v1/settings/public","mixed-settings","public","Checkout shipping and service contact in mock mode","SPLIT_NOT_REMOVE","Retain service contact settings","CRITICAL","INVENTORIED_ONLY"
"API-051","Mock API","GET/PATCH","/api/v1/admin/settings","mixed-settings","settings:read/settings:update","Admin settings in mock mode","SPLIT_NOT_REMOVE","Retain service settings","CRITICAL","INVENTORIED_ONLY"
